,Name,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Seats,n_price
664,Hyundai Verna CRDi SX,2299.44,2008,170000,Diesel,Manual,Second,16.8 kmpl,1493 CC,5.0,18679
665,Maruti Ritz VDi,5012.78,2015,65000,Diesel,Manual,Second,23.2 kmpl,1248 CC,5.0,14842
666,Audi Q7 3.0 TDI Quattro Technology,27593.28,2008,120300,Diesel,Automatic,Second,12.07 kmpl,2967 CC,7.0,33242
667,Hyundai i20 Asta Option 1.2,9657.65,2016,21000,Petrol,Manual,First,18.6 kmpl,1197 CC,5.0,15298
668,Maruti Vitara Brezza ZDi Plus Dual Tone,17337.78,2017,18108,Diesel,Manual,First,24.3 kmpl,1248 CC,5.0,26573
669,Honda City i VTEC S,9443.03,2014,58407,Petrol,Manual,First,17.4 kmpl,1497 CC,5.0,22314
670,Maruti Ciaz ZXi,9197.76,2014,49500,Petrol,Manual,First,20.73 kmpl,1373 CC,5.0,22272
671,Nissan Sunny XV CVT,8323.97,2013,37199,Petrol,Automatic,First,17.5 kmpl,1498 CC,5.0,22323
672,Volkswagen Polo Diesel Highline 1.2L,7128.26,2012,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,5.0,12937
673,Maruti Ertiga ZDI,11497.2,2015,59000,Diesel,Manual,First,20.77 kmpl,1248 CC,7.0,21953
674,Maruti Swift Dzire VDI,9581.0,2015,60000,Diesel,Manual,First,26.59 kmpl,1248 CC,5.0,17885
675,Mercedes-Benz New C-Class C 220 CDI Elegance AT,14179.88,2007,39037,Diesel,Automatic,First,14.84 kmpl,2143 CC,5.0,73699
676,Honda Brio S MT,4828.82,2013,17003,Petrol,Manual,First,19.4 kmpl,1198 CC,5.0,11202
677,Hyundai i10 Magna Optional 1.1L,3525.81,2008,80400,Petrol,Manual,First,16.0 kmpl,1086 CC,5.0,11771
678,Hyundai Verna 1.6 SX CRDi (O),8048.04,2012,75200,Diesel,Manual,First,22.32 kmpl,1582 CC,5.0,23588
679,Maruti Ciaz VDI SHVS,11343.9,2017,41217,Diesel,Manual,First,28.09 kmpl,1248 CC,5.0,20424
680,Ford Ikon 1.3 Flair,2376.09,2006,98293,Petrol,Manual,Second,13.8 kmpl,1299 CC,5.0,17793
681,Volkswagen Polo 1.2 MPI Highline,9197.76,2017,54000,Petrol,Manual,Second,16.2 kmpl,1199 CC,5.0,16112
682,Honda Jazz 1.2 V i VTEC,9044.46,2016,17377,Petrol,Manual,First,18.7 kmpl,1199 CC,5.0,14302
683,Honda Amaze EX i-Dtech,7204.91,2013,33800,Diesel,Manual,Second,25.8 kmpl,1498 CC,5.0,14035
684,Hyundai i20 Asta 1.4 CRDi,9964.24,2015,86157,Diesel,Manual,First,22.54 kmpl,1396 CC,5.0,20857
685,Maruti Ritz VDi,5442.01,2012,146824,Diesel,Manual,First,21.1 kmpl,1248 CC,5.0,14900
686,Honda City V MT,10884.02,2014,55000,Petrol,Manual,First,16.8 kmpl,1497 CC,5.0,24052
687,Skoda Superb 1.8 TSI MT,9197.76,2010,53293,Petrol,Manual,First,13.14 kmpl,1798 CC,5.0,24603
688,Maruti Vitara Brezza LDi Option,12248.35,2017,38000,Diesel,Manual,First,24.3 kmpl,1248 CC,5.0,22423
689,Hyundai i20 Asta,6285.14,2009,64000,Petrol,Manual,Second,17.0 kmpl,1197 CC,5.0,14963
690,Maruti Alto K10 VXI AGS,6055.19,2017,25058,Petrol,Automatic,First,24.07 kmpl,998 CC,5.0,12132
691,Hyundai EON Era Plus,6714.36,2016,36700,Petrol,Manual,First,21.1 kmpl,814 CC,5.0,9290
692,Hyundai i10 Sportz,4215.64,2011,35000,Petrol,Manual,First,20.36 kmpl,1197 CC,5.0,11944
693,Mercedes-Benz SLK-Class SLK 350,85140.6,2016,22732,Petrol,Automatic,First,18.1 kmpl,3498 CC,2.0,128445
694,Audi A6 2.0 TDI Design Edition,44455.84,2014,48000,Diesel,Automatic,First,18.53 kmpl,1968 CC,5.0,109972
695,Ford EcoSport 1.5 TDCi Titanium,10117.54,2013,62084,Diesel,Manual,First,22.77 kmpl,1498 CC,5.0,22807
696,Volkswagen Passat Highline DSG,10715.39,2012,39273,Diesel,Automatic,First,14.3 kmpl,1968 CC,5.0,62269
697,Toyota Innova Crysta 2.4 ZX MT,28743.0,2017,64798,Diesel,Manual,First,13.68 kmpl,2393 CC,7.0,44102
698,Ford Figo Diesel ZXI,1962.19,2010,100002,Diesel,Manual,Third,20.0 kmpl,1399 CC,5.0,21468
699,Chevrolet Aveo 1.4,1839.55,2006,78000,Petrol,Manual,Third,14.49 kmpl,1399 CC,5.0,26911
700,Maruti Ritz LXi,6607.06,2013,57717,Petrol,Manual,First,18.5 kmpl,1197 CC,5.0,13833
701,Land Rover Freelander 2 SE,25293.84,2011,109000,Diesel,Automatic,First,12.39 kmpl,2179 CC,5.0,81559
702,Hyundai Grand i10 Asta,8645.89,2017,74515,Petrol,Manual,First,18.9 kmpl,1197 CC,5.0,14307
703,Ford Endeavour 3.2 Trend AT 4X4,47705.72,2017,50484,Diesel,Automatic,First,10.91 kmpl,3198 CC,7.0,73872
704,Audi Q5 2008-2012 2.0 TDI,39029.16,2013,13452,Diesel,Automatic,First,12.8 kmpl,1968 CC,5.0,86211
705,Hyundai Verna 1.6 VTVT,12079.72,2017,37688,Petrol,Manual,First,17.01 kmpl,1591 CC,5.0,28639
706,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,55186.56,2017,34000,Diesel,Automatic,First,13.0 kmpl,2143 CC,5.0,101684
707,Mercedes-Benz M-Class ML 350 4Matic,45988.8,2014,120000,Diesel,Automatic,First,14.2 kmpl,2987 CC,5.0,79775
708,Maruti Swift Dzire ZXi,4368.94,2008,64000,Petrol,Manual,Second,17.5 kmpl,1298 CC,5.0,17156
709,Honda City 1.3 EXI S,5365.36,2011,100000,Petrol,Manual,First,13.0 kmpl,1343 CC,5.0,22133
710,Renault Duster 85PS Diesel RxL Optional,11497.2,2014,75000,Diesel,Manual,First,20.46 kmpl,1461 CC,5.0,26469
711,Mercedes-Benz New C-Class 220 CDI AT,29126.24,2012,86000,Diesel,Automatic,First,14.84 kmpl,2143 CC,5.0,83386
712,BMW X5 xDrive 30d Design Pure Experience 5 Seater,82779.84,2015,69000,Diesel,Automatic,First,15.97 kmpl,2993 CC,5.0,164487
713,Hyundai Xcent 1.2 Kappa SX Option,7204.91,2015,41721,Petrol,Manual,First,19.1 kmpl,1197 CC,5.0,13072
714,Maruti Dzire AMT ZXI Plus,13030.16,2017,13000,Petrol,Automatic,First,22.0 kmpl,1197 CC,5.0,17522
715,BMW 3 Series 320d Corporate Edition,26060.32,2013,38998,Diesel,Automatic,First,16.07 kmpl,1995 CC,4.0,66193
716,Maruti Alto 800 LXI,5380.69,2017,54250,Petrol,Manual,First,22.74 kmpl,796 CC,5.0,8189
717,Audi A4 2.0 TDI 177 Bhp Premium Plus,29892.72,2013,45979,Diesel,Automatic,Second,17.11 kmpl,1968 CC,5.0,74562
718,Mini Cooper S,26060.32,2012,37000,Petrol,Automatic,Second,13.6 kmpl,1598 CC,4.0,32510
719,Audi Q7 3.0 TDI Quattro Premium Plus,66453.82,2015,46983,Diesel,Automatic,Second,12.07 kmpl,2967 CC,7.0,49272
720,Chevrolet Beat Diesel LT,4062.34,2012,40700,Diesel,Manual,First,25.44 kmpl,936 CC,5.0,9397
721,Maruti Wagon R LXI BS IV,5396.02,2015,43828,Petrol,Manual,First,20.51 kmpl,998 CC,5.0,10087
722,Nissan Terrano XV Premium 110 PS,9581.0,2016,53000,Diesel,Manual,First,19.01 kmpl,1461 CC,5.0,22732
723,BMW 3 Series 320d Luxury Plus,37940.76,2015,100000,Diesel,Automatic,First,18.88 kmpl,1995 CC,5.0,92739
724,Maruti Swift Dzire VXI,8048.04,2015,19000,Petrol,Manual,First,20.85 kmpl,1197 CC,5.0,15454
725,Skoda Yeti Elegance 4X2,16862.56,2016,84000,Diesel,Manual,First,17.72 kmpl,1968 CC,5.0,41760
726,Ford EcoSport 1.5 Ti VCT AT Titanium,13949.94,2018,37630,Petrol,Automatic,First,15.63 kmpl,1499 CC,5.0,21291
727,Hyundai i20 1.2 Magna,4982.12,2010,67714,Petrol,Manual,First,18.5 kmpl,1197 CC,5.0,14388
728,Maruti S Cross DDiS 200 Sigma Option,13030.16,2017,32000,Diesel,Manual,First,15.0 kmpl,1248 CC,5.0,21231
729,Hyundai Verna Transform VTVT,4752.18,2010,51000,Petrol,Manual,First,16.2 kmpl,1599 CC,5.0,24309
730,BMW 3 Series 320d Luxury Line,30444.59,2015,58390,Diesel,Automatic,First,18.88 kmpl,1995 CC,5.0,83733
731,Hyundai Grand i10 1.2 CRDi Magna,7511.5,2017,14000,Diesel,Manual,First,24.0 kmpl,1186 CC,5.0,15434
732,Honda City i-VTEC V,8737.87,2014,55818,Petrol,Manual,Second,17.4 kmpl,1497 CC,5.0,20358
733,Maruti Swift 1.3 VXi,2682.68,2006,97800,Petrol,Manual,Third,16.1 kmpl,1248 CC,5.0,22958
734,Maruti Swift VDI BSIV,4445.58,2012,52241,Diesel,Manual,First,25.2 kmpl,1248 CC,5.0,15231
735,Maruti Baleno Zeta 1.3,12003.08,2018,25433,Diesel,Manual,First,27.39 kmpl,1248 CC,5.0,21948
736,Tata Safari Storme 2012-2015 LX,12493.62,2015,40611,Diesel,Manual,First,14.0 kmpl,2179 CC,7.0,26547
737,Hyundai Accent GLS,3065.92,2008,72000,Petrol,Manual,Second,13.2 kmpl,1495 CC,5.0,20237
738,Maruti Swift LDI SP Limited Edition,9581.0,2016,54631,Diesel,Manual,First,25.2 kmpl,1248 CC,5.0,18855
739,Maruti Swift VDI BSIV,5212.06,2007,60000,Diesel,Manual,Second,17.8 kmpl,1248 CC,5.0,23250
740,Tata Nano XTA,4890.14,2016,24941,Petrol,Automatic,First,21.9 kmpl,624 CC,4.0,7311
741,Maruti Ertiga VDI,11880.44,2017,63939,Diesel,Manual,First,25.47 kmpl,1248 CC,7.0,21886
742,Maruti Celerio VXI AMT,4905.47,2014,35214,Petrol,Automatic,Second,23.1 kmpl,998 CC,5.0,10472
743,Maruti Swift VDI BSIV,7511.5,2015,63000,Diesel,Manual,First,25.2 kmpl,1248 CC,5.0,16786
744,Volkswagen Vento Petrol Highline,5825.25,2012,121377,Petrol,Manual,First,15.04 kmpl,1598 CC,5.0,24122
745,Volkswagen Jetta 2007-2011 1.9 Highline TDI,6131.84,2009,100970,Diesel,Automatic,First,15.5 kmpl,1896 CC,5.0,39493
746,Mini Cooper 5 DOOR D,36024.56,2014,60000,Diesel,Automatic,Second,20.7 kmpl,1496 CC,5.0,66719
747,Tata Indica V2 DLS,1762.9,2008,77650,Diesel,Manual,First,17.2 kmpl,1396 CC,5.0,22473
748,Hyundai Santro Xing XO,3372.51,2007,71297,Petrol,Manual,First,17.0 kmpl,1086 CC,5.0,12678
749,Land Rover Range Rover 3.0 D,40623.44,2008,55001,Diesel,Automatic,Second,13.16kmpl,2997 CC,5.0,24546
750,Honda City i-VTEC CVT VX,16326.02,2015,18955,Petrol,Automatic,First,18.0 kmpl,1497 CC,5.0,31311
751,Jaguar XF 2.2 Litre Luxury,54696.01,2016,47877,Diesel,Automatic,First,16.36 kmpl,2179 CC,5.0,101819
752,Mercedes-Benz E-Class 2015-2017 E250 Edition E,48962.74,2017,43368,Diesel,Automatic,First,15.0 kmpl,2143 CC,5.0,91610
753,Chevrolet Cruze LTZ,6438.43,2011,73000,Diesel,Manual,Third,18.3 kmpl,1991 CC,5.0,26531
754,Mahindra XUV500 W8 2WD,15176.3,2015,72007,Diesel,Manual,First,15.1 kmpl,2179 CC,7.0,33124
755,Mercedes-Benz New C-Class C 200 CGI Avantgarde,23699.56,2014,56778,Petrol,Automatic,First,11.74 kmpl,1796 CC,5.0,64520
756,Honda Jazz VX,12968.84,2018,20024,Petrol,Manual,First,18.2 kmpl,1199 CC,5.0,18988
757,Toyota Etios G,4982.12,2013,42103,Petrol,Manual,First,16.78 kmpl,1496 CC,5.0,19207
758,Maruti Alto LXi BSIII,3985.7,2012,67147,Petrol,Manual,First,19.7 kmpl,796 CC,5.0,8647
759,Maruti Swift VXI BSIV,7971.39,2016,37806,Petrol,Manual,First,20.4 kmpl,1197 CC,5.0,14575
760,Maruti A-Star Vxi,2759.33,2009,85000,Petrol,Manual,Third,19.0 kmpl,998 CC,5.0,9780
761,Tata Nano Lx BSIV,2452.74,2011,35000,Petrol,Manual,First,25.4 kmpl,624 CC,4.0,6423
762,Ford Figo Titanium Diesel,3832.4,2015,72035,Diesel,Manual,First,25.5 kmpl,1498 CC,5.0,14572
763,Fiat Linea Emotion,3832.4,2011,48500,Petrol,Manual,First,16.0 kmpl,1368 CC,5.0,21713
764,Ford Figo Aspire 1.2 Ti-VCT Trend,10270.83,2017,28854,Petrol,Manual,First,18.16 kmpl,1196 CC,5.0,16006
765,Maruti Baleno LXI,1839.55,2005,92450,Petrol,Manual,First,15.4 kmpl,1590 CC,5.0,30222
766,BMW 3 Series 320d Luxury Line,54496.73,2016,14351,Diesel,Automatic,First,18.88 kmpl,1995 CC,5.0,98799
767,Chevrolet Cruze LTZ,11880.44,2017,51087,Diesel,Manual,First,17.9 kmpl,1998 CC,5.0,30374
768,Mahindra Scorpio 2.6 DX,2973.94,2005,50000,Diesel,Manual,First,12.7 kmpl,2609 CC,8.0,43901
769,Tata Indica V2 eLS,3372.51,2016,73000,Diesel,Manual,First,25.0 kmpl,1396 CC,5.0,13714
770,Chevrolet Cruze LTZ AT,5825.25,2011,60000,Diesel,Automatic,First,18.1 kmpl,1991 CC,4.0,47641
771,Toyota Innova 2.5 V Diesel 8-seater,23990.82,2016,50000,Diesel,Manual,First,12.8 kmpl,2494 CC,8.0,36574
772,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,60505.93,2018,36797,Diesel,Automatic,First,19.27 kmpl,2143 CC,5.0,114412
773,Maruti Ritz VXi,2299.44,2011,50000,Petrol,Manual,Second,18.5 kmpl,1197 CC,5.0,11772
774,Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,13566.7,2013,94000,Diesel,Manual,First,12.8 kmpl,2494 CC,8.0,43546
775,Toyota Fortuner 4x4 MT,27439.98,2013,74000,Diesel,Manual,Second,12.55 kmpl,2982 CC,7.0,19825
776,Hyundai i10 Sportz AT,7787.44,2014,41016,Petrol,Automatic,Second,16.95 kmpl,1197 CC,5.0,17855
777,Hyundai Verna 1.6 SX,9581.0,2012,67000,Diesel,Manual,First,22.32 kmpl,1582 CC,5.0,23193
778,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,34874.84,2015,76927,Diesel,Automatic,First,15.73 kmpl,1968 CC,5.0,82831
779,Chevrolet Beat LS,2238.12,2010,17088,Petrol,Manual,First,18.6 kmpl,1199 CC,5.0,11404
780,Ford Fiesta 1.4 Duratorq ZXI,3142.57,2007,112808,Diesel,Manual,Second,17.8 kmpl,1399 CC,5.0,28475
781,Ford Figo Diesel EXI,6254.48,2014,74980,Diesel,Manual,First,20.0 kmpl,1399 CC,5.0,23442
782,Maruti Celerio VXI AT,6974.97,2014,44600,Petrol,Automatic,First,23.1 kmpl,998 CC,5.0,12373
783,Mercedes-Benz A Class A180 CDI,21461.44,2013,37000,Diesel,Automatic,First,20.0 kmpl,2143 CC,5.0,77759
784,Hyundai Creta 1.6 SX,16709.26,2016,21000,Petrol,Manual,First,15.8 kmpl,1591 CC,5.0,23766
785,Maruti Wagon R VXI BS IV,3755.75,2010,81245,Petrol,Manual,First,18.9 kmpl,998 CC,5.0,11245
786,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,24220.77,2013,70000,Diesel,Automatic,First,10.0 kmpl,2148 CC,5.0,65544
787,Ford EcoSport 1.5 Ti VCT MT Titanium BE,12646.92,2017,4018,Petrol,Manual,First,18.88 kmpl,1499 CC,5.0,23569
788,Renault Koleos 2.0 Diesel,13030.16,2013,70000,Diesel,Automatic,Second,13.73 kmpl,1995 CC,5.0,50292
789,Mahindra XUV500 W10 2WD,23822.2,2016,56532,Diesel,Manual,First,16.0 kmpl,2179 CC,7.0,37525
790,Maruti Omni E 8 Str STD,3602.46,2013,26875,Petrol,Manual,First,16.8 kmpl,796 CC,8.0,7856
791,Maruti Wagon R VXI,6622.39,2015,72599,Petrol,Manual,First,22.5 kmpl,998 CC,5.0,10982
792,Ford Endeavour XLT TDCi 4X2,5978.54,2008,205000,Diesel,Manual,Second,13.1 kmpl,2499 CC,7.0,33318
793,Hyundai Verna 1.6 SX,7971.39,2011,98000,Diesel,Manual,Second,22.32 kmpl,1582 CC,5.0,22178
794,Hyundai i20 Magna 1.2,8967.82,2018,19500,Petrol,Manual,First,18.6 kmpl,1197 CC,5.0,14352
795,Maruti Ertiga ZXI,9581.0,2013,68000,Petrol,Manual,Second,16.02 kmpl,1373 CC,7.0,22788
796,Mahindra XUV500 W9 AT,27026.08,2019,19654,Diesel,Automatic,First,14.0 kmpl,2179 CC,7.0,50142
797,Maruti SX4 S Cross DDiS 200 Zeta,14946.36,2017,26000,Diesel,Manual,First,23.65 kmpl,1248 CC,5.0,23991
798,Mercedes-Benz SLK-Class SLK 350,84312.8,2015,10000,Petrol,Automatic,First,18.1 kmpl,3498 CC,2.0,132584
799,Volkswagen Polo Diesel Comfortline 1.2L,6285.14,2011,75020,Diesel,Manual,First,22.07 kmpl,1199 CC,5.0,13344
800,Toyota Fortuner 4x4 MT,18380.19,2011,157000,Diesel,Manual,First,12.55 kmpl,2982 CC,7.0,30028
801,Mahindra XUV500 W10 2WD,20756.28,2017,43773,Diesel,Manual,First,16.0 kmpl,2179 CC,7.0,32556
802,Mercedes-Benz GLE 250d,85845.76,2016,21000,Diesel,Automatic,First,17.9 kmpl,2143 CC,5.0,141735
803,Honda Jazz 1.2 VX i VTEC,9964.24,2016,23280,Petrol,Manual,First,18.7 kmpl,1199 CC,5.0,16028
804,Maruti Swift Dzire VDI,7281.56,2013,88000,Diesel,Manual,First,23.4 kmpl,1248 CC,5.0,17467
805,Hyundai Verna 1.6 SX VTVT,8584.58,2014,67000,Petrol,Manual,First,17.01 kmpl,1591 CC,5.0,26185
806,Ford Endeavour 3.2 Titanium AT 4X4,44762.43,2017,59636,Diesel,Automatic,First,10.91 kmpl,3198 CC,7.0,64917
807,Hyundai i20 1.2 Asta Option,9734.3,2018,11000,Petrol,Manual,First,18.6 kmpl,1197 CC,5.0,15120
808,Honda City 1.5 V MT Sunroof,7588.15,2013,60669,Petrol,Manual,First,16.8 kmpl,1497 CC,5.0,20449
809,Honda Amaze VX Diesel,13030.16,2018,12000,Diesel,Manual,First,27.4 kmpl,1498 CC,5.0,21931
810,Hyundai Verna 1.6 SX VTVT (O),6898.32,2013,35000,Petrol,Manual,First,17.1 kmpl,1591 CC,5.0,24849
811,Honda Mobilio S i DTEC,8431.28,2015,65000,Diesel,Manual,First,24.2 kmpl,1498 CC,7.0,17988
812,Maruti Ertiga ZDI,10056.22,2013,39929,Diesel,Manual,First,20.77 kmpl,1248 CC,7.0,19711
813,Maruti Alto K10 LXI,3525.81,2014,49000,Petrol,Manual,First,24.07 kmpl,998 CC,5.0,9967
814,Toyota Qualis FS B2,5365.36,2004,77757,Diesel,Manual,Second,13.1 kmpl,2446 CC,10.0,56013
815,Hyundai i10 Sportz,6974.97,2016,21456,Petrol,Manual,First,20.36 kmpl,1197 CC,5.0,13803
816,Skoda Laura 1.9 TDI AT Ambiente,11880.44,2009,74000,Diesel,Automatic,Second,17.0 kmpl,1896 CC,5.0,53026
817,Hyundai i20 Asta Option 1.2,8048.04,2015,37000,Petrol,Manual,Second,18.6 kmpl,1197 CC,5.0,13787
818,BMW 5 Series 2003-2012 530d Highline,35702.64,2013,108640,Diesel,Automatic,First,11.5 kmpl,2993 CC,5.0,45348
819,BMW 3 Series 320d M Sport,36775.71,2016,38000,Diesel,Automatic,First,22.69 kmpl,1995 CC,5.0,89775
820,Chevrolet Aveo 1.4 LT ABS BSIV,2744.0,2010,80000,Petrol,Manual,First,14.49 kmpl,1399 CC,5.0,24674
821,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,21308.14,2011,47000,Diesel,Automatic,Second,14.21 kmpl,2143 CC,5.0,70105
822,Audi A6 2011-2015 2.0 TDI Premium Plus,29049.59,2013,31000,Diesel,Automatic,First,17.68 kmpl,1968 CC,5.0,96699
823,Maruti Wagon R LXI BS IV,3817.07,2014,40000,Petrol,Manual,First,20.51 kmpl,998 CC,5.0,9502
824,Renault KWID RXT,4828.82,2016,4152,Petrol,Manual,First,25.17 kmpl,799 CC,5.0,7801
825,Volkswagen Ameo 1.5 TDI Highline,9887.59,2017,51000,Diesel,Manual,First,21.66 kmpl,1498 CC,5.0,20771
826,Volkswagen Polo Diesel Comfortline 1.2L,6515.08,2013,55000,Diesel,Manual,First,22.07 kmpl,1199 CC,5.0,12933
827,Maruti Alto 800 LXI,4215.64,2014,58500,Petrol,Manual,First,22.74 kmpl,796 CC,5.0,7660
828,Hyundai i20 Asta Option 1.2,10945.33,2017,58620,Petrol,Manual,First,18.6 kmpl,1197 CC,5.0,17068
829,Toyota Etios Liva G,3740.42,2012,29605,Petrol,Manual,First,18.3 kmpl,1197 CC,5.0,11933
830,Hyundai i20 1.2 Sportz,5365.36,2012,71172,Petrol,Manual,Third,17.0 kmpl,1197 CC,5.0,12753
831,Hyundai i20 1.4 Asta,11190.61,2017,12000,Diesel,Manual,First,22.54 kmpl,1396 CC,5.0,22253
832,Maruti Wagon R LXI Optional,4215.64,2014,25000,Petrol,Manual,First,20.51 kmpl,998 CC,5.0,9627
833,Hyundai i20 1.4 Asta Option,12570.27,2017,43000,Diesel,Manual,Second,22.54 kmpl,1396 CC,5.0,21965
834,Volkswagen Polo GT TSI,9979.57,2015,57022,Petrol,Automatic,First,17.21 kmpl,1197 CC,5.0,18363
835,Ford Figo Diesel Titanium,6515.08,2015,92000,Diesel,Manual,First,20.0 kmpl,1399 CC,5.0,25257
836,Maruti Swift ZXI,9519.68,2014,33372,Petrol,Manual,Second,18.6 kmpl,1197 CC,5.0,14415
837,Hyundai Grand i10 CRDi Magna,7020.96,2016,52625,Diesel,Manual,First,24.0 kmpl,1120 CC,5.0,13395
838,Mahindra Xylo H4,11497.2,2016,215000,Diesel,Manual,First,14.02 kmpl,2179 CC,7.0,28825
839,Maruti Alto Green LXi (CNG),3219.22,2012,65537,CNG,Manual,First,26.83 kmpl,796 CC,5.0,7207
840,Hyundai i10 Magna 1.1,6269.81,2014,60138,Petrol,Manual,First,19.81 kmpl,1086 CC,5.0,12039
841,Skoda Octavia Elegance 2.0 TDI AT,16479.32,2014,84000,Diesel,Automatic,First,19.3 kmpl,1968 CC,5.0,73505
842,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,63617.84,2014,47000,Diesel,Automatic,First,15.97 kmpl,2993 CC,7.0,88936
843,Maruti Celerio VXI AT,6745.02,2014,33450,Petrol,Automatic,First,23.1 kmpl,998 CC,5.0,12939
844,Volkswagen Vento Diesel Comfortline,9581.0,2013,125000,Diesel,Manual,Second,20.54 kmpl,1598 CC,5.0,23440
845,BMW 3 Series 320d Highline,16096.08,2011,99606,Diesel,Automatic,Second,16.07 kmpl,1995 CC,5.0,62611
846,Maruti Ertiga ZDI,11113.96,2014,64000,Diesel,Manual,First,20.77 kmpl,1248 CC,7.0,21070
847,Ford Figo Diesel ZXI,4905.47,2013,51000,Diesel,Manual,First,20.0 kmpl,1399 CC,5.0,22850
848,Volkswagen Polo 1.2 MPI Highline,6055.19,2014,57000,Petrol,Manual,First,16.47 kmpl,1198 CC,5.0,13270
849,Audi A6 3.0 TDI quattro,18502.83,2009,48040,Diesel,Automatic,Second,16.77 kmpl,2967 CC,5.0,53158
850,Toyota Innova Crysta 2.4 ZX MT,28513.06,2017,43200,Diesel,Manual,First,13.68 kmpl,2393 CC,7.0,39671
851,Hyundai Verna 1.6 CRDi EX AT,8737.87,2013,66000,Diesel,Automatic,First,22.32 kmpl,1582 CC,5.0,23511
852,Hyundai Santro Xing GL Plus,2682.68,2013,31000,Petrol,Manual,First,17.92 kmpl,1086 CC,5.0,9508
853,Audi A4 2.0 TDI,16847.23,2011,46000,Diesel,Automatic,Second,16.55 kmpl,1968 CC,5.0,66613
854,Audi A4 2.0 TDI,22227.92,2012,47346,Diesel,Automatic,First,16.55 kmpl,1968 CC,5.0,69547
855,Skoda Laura 1.9 TDI MT Ambiente,4767.51,2009,100000,Diesel,Manual,First,17.0 kmpl,1896 CC,5.0,27297
856,Honda CR-V 2.0L 2WD AT,21400.12,2015,63856,Petrol,Automatic,First,13.7 kmpl,1997 CC,5.0,48061
857,Hyundai Verna 1.6 SX CRDi (O),10899.35,2015,72996,Diesel,Manual,First,22.32 kmpl,1582 CC,5.0,25576
858,Honda Mobilio RS i DTEC,10577.42,2014,23000,Diesel,Manual,First,24.5 kmpl,1498 CC,7.0,21701
859,Hyundai i20 1.2 Asta Option,11911.1,2018,15985,Petrol,Manual,First,18.6 kmpl,1197 CC,5.0,16975
860,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,8431.28,2011,98000,Diesel,Manual,Second,12.8 kmpl,2494 CC,8.0,27419
861,Hyundai i20 Magna 1.2,8201.34,2014,70089,Petrol,Manual,First,18.6 kmpl,1197 CC,5.0,14431
862,Mahindra Bolero VLX BS IV,6898.32,2011,99000,Diesel,Manual,Second,13.6 kmpl,2523 CC,7.0,25418
863,Volkswagen Vento 1.5 TDI Comfortline,7281.56,2014,72000,Diesel,Manual,First,20.34 kmpl,1498 CC,5.0,20310
864,Jaguar XF 2.2 Litre Luxury,50281.09,2015,44194,Diesel,Automatic,First,16.36 kmpl,2179 CC,5.0,84221
865,Maruti Zen LXi - BS III,1073.07,2005,102000,Petrol,Manual,First,17.3 kmpl,993 CC,5.0,13824
866,Mercedes-Benz E-Class Facelift,77092.56,2018,56652,Diesel,Automatic,First,13.0 kmpl,2987 CC,5.0,144600
867,Toyota Fortuner 3.0 Diesel,16847.23,2010,41650,Diesel,Manual,Second,11.5 kmpl,2982 CC,7.0,28567
868,Hyundai Grand i10 AT Asta,8538.59,2015,61717,Petrol,Automatic,First,18.9 kmpl,1197 CC,5.0,15718
869,Hyundai Xcent 1.2 CRDi S,9044.46,2018,25302,Diesel,Manual,First,25.4 kmpl,1186 CC,5.0,15934
870,Hyundai Creta 1.6 VTVT S,14455.81,2016,47016,Petrol,Manual,First,15.29 kmpl,1591 CC,5.0,25687
871,Hyundai i10 Sportz,4445.58,2010,69000,Petrol,Manual,First,20.36 kmpl,1197 CC,5.0,12238
872,Honda Brio S MT,5641.29,2016,32700,Petrol,Manual,First,19.4 kmpl,1198 CC,5.0,10819
873,Toyota Fortuner 4x2 AT,33219.24,2015,101337,Diesel,Automatic,First,12.55 kmpl,2982 CC,7.0,26279
874,Audi A4 2.0 TDI Multitronic,19162.0,2011,59000,Diesel,Automatic,First,16.55 kmpl,1968 CC,5.0,69557
875,Toyota Innova Crysta 2.8 ZX AT,30536.56,2018,41736,Diesel,Automatic,First,11.36 kmpl,2755 CC,7.0,65109
876,Honda City i DTEC VX,10347.48,2014,71649,Diesel,Manual,First,25.1 kmpl,1498 CC,5.0,18503
877,Honda City i DTEC VX,10669.4,2015,80606,Diesel,Manual,First,25.1 kmpl,1498 CC,5.0,19413
878,Renault KWID 1.0 RXT Optional,4982.12,2017,63262,Petrol,Manual,First,21.7 kmpl,999 CC,5.0,9813
879,Maruti Swift DDiS ZDI Plus,13260.1,2018,5456,Diesel,Manual,First,28.4 kmpl,1248 CC,5.0,21968
