Name,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Seats
Maruti SX4 ZXI AT Leather,4368.94,2009,77652,Petrol,Automatic,First,12.6 kmpl,1586 CC,5.0
Toyota Innova 2.5 VX (Diesel) 7 Seater,14578.45,2012,55000,Diesel,Manual,First,12.99 kmpl,2494 CC,7.0
BMW 5 Series 2003-2012 520d,28359.76,2012,59900,Diesel,Automatic,Second,18.48 kmpl,1995 CC,5.0
Renault Duster 110PS Diesel RxZ,10347.48,2015,73539,Diesel,Manual,First,19.01 kmpl,1461 CC,5.0
BMW X1 sDrive 20d xLine,45069.02,2017,31645,Diesel,Automatic,First,20.68 kmpl,1995 CC,5.0
Honda City ZX GXi,5043.44,2009,69690,Petrol,Manual,First,17.7 kmpl,1497 CC,5.0
Maruti Ciaz RS ZDi Plus SHVS,14563.12,2016,41000,Diesel,Manual,First,28.09 kmpl,1248 CC,5.0
Maruti Swift Dzire VXi,3372.51,2010,109200,Petrol,Manual,Second,17.5 kmpl,1298 CC,5.0
Mahindra XUV500 W6 2WD,9964.24,2012,80000,Diesel,Manual,First,15.1 kmpl,2179 CC,7.0
Honda Civic 2006-2010 1.8 S MT,7511.5,2007,51000,Petrol,Manual,First,13.5 kmpl,1799 CC,5.0
Maruti Ertiga ZDI,10347.48,2013,105000,Diesel,Manual,Second,25.47 kmpl,1248 CC,7.0
Toyota Etios Liva GD,5825.25,2013,179000,Diesel,Manual,First,23.59 kmpl,1364 CC,5.0
Audi TT 2.0 TFSI,45222.32,2013,12100,Petrol,Automatic,First,9.9 kmpl,1984 CC,2.0
Skoda Rapid 1.5 TDI Style,16096.08,2017,31000,Diesel,Manual,First,21.13 kmpl,1498 CC,5.0
Volkswagen Polo 1.5 TDI Highline,9504.35,2015,50000,Diesel,Manual,First,20.14 kmpl,1498 CC,5.0
Skoda Laura 1.9 TDI AT Elegance,7664.8,2009,48000,Diesel,Automatic,First,17.0 kmpl,1896 CC,5.0
Mahindra Renault Logan 1.5 DLE Diesel,3525.81,2007,35000,Diesel,Manual,First,19.2 kmpl,1461 CC,5.0
Toyota Innova Crysta 2.8 GX AT,26060.32,2016,100200,Diesel,Automatic,First,11.36 kmpl,2755 CC,7.0
BMW 3 Series 320d Luxury Line,39090.48,2014,47000,Diesel,Automatic,First,18.88 kmpl,1995 CC,5.0
Honda Jazz 1.5 S i DTEC,8661.22,2015,63642,Diesel,Manual,First,27.3 kmpl,1498 CC,5.0
Honda Amaze VX i-DTEC,8584.58,2015,62550,Diesel,Manual,First,25.8 kmpl,1498 CC,5.0
Jaguar XF 2.2 Litre Luxury,45958.14,2015,37340,Diesel,Automatic,First,16.36 kmpl,2179 CC,5.0
Maruti Swift Dzire VDI,11328.57,2016,38461,Diesel,Manual,First,26.59 kmpl,1248 CC,5.0
Jeep Compass 2.0 Limited,29126.24,2018,29000,Diesel,Manual,First,17.1 kmpl,1956 CC,5.0
Toyota Corolla Altis 1.8 Sport,7664.8,2010,31000,Petrol,Manual,First,12.5 kmpl,1794 CC,5.0
Honda City 1.5 V MT,5135.42,2011,42086,Petrol,Manual,First,17.0 kmpl,1497 CC,5.0
Maruti Swift ZXI,6821.67,2013,49000,Petrol,Manual,First,18.6 kmpl,1197 CC,5.0
Hyundai Verna 1.6 SX CRDI (O) AT,12738.9,2019,77240,Diesel,Automatic,First,22.32 kmpl,1582 CC,5.0
Mahindra Bolero ZLX,9197.76,2012,105000,Diesel,Manual,Second,15.96 kmpl,2523 CC,7.0
Maruti Swift VDI,8048.04,2014,35000,Diesel,Manual,First,22.9 kmpl,1248 CC,5.0
Hyundai Santro Xing XO,2146.14,2006,83072,Petrol,Manual,First,17.0 kmpl,1086 CC,5.0
Audi A6 2011-2015 2.0 TDI Premium Plus,18855.41,2012,202082,Diesel,Automatic,First,17.68 kmpl,1968 CC,5.0
Ford Ikon 1.3 LXi NXt,2299.44,2004,129000,Petrol,Manual,Third,13.8 kmpl,1299 CC,5.0
Volkswagen Polo 1.5 TDI Highline,12447.64,2018,33558,Diesel,Manual,First,20.14 kmpl,1498 CC,5.0
Mahindra Bolero VLX CRDe,9381.72,2012,60271,Diesel,Manual,First,13.6 kmpl,2523 CC,7.0
Honda City i DTEC VX Option,16678.6,2017,45366,Diesel,Manual,First,25.1 kmpl,1498 CC,5.0
Chevrolet Sail Hatchback 1.2 LS,5365.36,2014,9500,Petrol,Manual,First,18.2 kmpl,1199 CC,5.0
Hyundai i20 1.2 Spotz,9427.7,2016,42362,Petrol,Manual,First,18.6 kmpl,1197 CC,5.0
BMW X1 sDrive 20d Sportline,50587.68,2016,21000,Diesel,Automatic,First,17.05 kmpl,1995 CC,5.0
BMW X1 sDrive 20d Exclusive,20694.96,2012,15200,Diesel,Automatic,First,15.06 kmpl,1995 CC,5.0
Toyota Fortuner 4x2 AT,26228.95,2015,43690,Diesel,Automatic,First,12.55 kmpl,2982 CC,7.0
Audi Q7 4.2 TDI Quattro Technology,45636.22,2014,79926,Diesel,Automatic,First,11.33 kmpl,4134 CC,7.0
Maruti Ertiga VDI,9121.11,2013,53073,Diesel,Manual,First,20.77 kmpl,1248 CC,7.0
Hyundai i20 1.2 Magna,8814.52,2015,59000,Petrol,Manual,First,18.5 kmpl,1197 CC,5.0
Mercedes-Benz S Class 2005 2013 S 350 L,29126.24,2006,47088,Petrol,Automatic,Second,10.13 kmpl,3498 CC,5.0
Renault Duster 85PS Diesel RxL,7281.56,2014,55000,Diesel,Manual,First,20.45 kmpl,1461 CC,5.0
Mahindra Quanto C2,5058.77,2013,80430,Diesel,Manual,Second,17.21 kmpl,1493 CC,7.0
Toyota Fortuner 4x2 AT,25293.84,2013,71932,Diesel,Automatic,First,12.55 kmpl,2982 CC,7.0
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,67450.24,2014,19000,Diesel,Automatic,First,15.97 kmpl,2993 CC,7.0
Maruti Swift Dzire VDi,6729.69,2011,81759,Diesel,Manual,First,19.3 kmpl,1248 CC,5.0
Maruti Swift LDI Optional,9504.35,2018,52010,Diesel,Manual,First,25.2 kmpl,1248 CC,5.0
Audi A6 2011-2015 35 TFSI Technology,37128.29,2016,58953,Petrol,Automatic,First,13.53 kmpl,1984 CC,5.0
Mitsubishi Pajero 2.8 SFX BSIV Dual Tone,8354.63,2008,93000,Diesel,Manual,Third,10.5 kmpl,2835 CC,6.0
Jaguar XF 2.2 Litre Executive,67450.24,2016,10000,Diesel,Automatic,First,16.36 kmpl,2179 CC,5.0
Toyota Innova Crysta 2.8 ZX AT,38048.07,2019,40674,Diesel,Automatic,First,11.36 kmpl,2755 CC,7.0
Skoda Octavia Ambition 2.0 TDI AT,17920.3,2015,50000,Diesel,Automatic,First,19.3 kmpl,1968 CC,5.0
Toyota Corolla Altis VL AT,30659.2,2018,1331,Petrol,Automatic,First,14.28 kmpl,1798 CC,5.0
Maruti Omni 8 Seater BSII,2222.79,2010,60000,Petrol,Manual,First,19.7 kmpl,796 CC,8.0
Mercedes-Benz GLC 220d 4MATIC Style,74348.56,2018,10003,Diesel,Automatic,First,17.9 kmpl,2143 CC,5.0
Volkswagen Vento 1.5 TDI Highline AT,14486.47,2016,25000,Diesel,Automatic,First,21.5 kmpl,1498 CC,5.0
Mahindra XUV500 W10 2WD,19162.0,2015,73000,Diesel,Manual,First,16.0 kmpl,2179 CC,7.0
Nissan Terrano XL 85 PS,10577.42,2014,59962,Diesel,Manual,First,20.45 kmpl,1461 CC,5.0
Hyundai Verna 1.6 SX CRDi (O),8891.17,2012,72000,Diesel,Manual,Second,22.32 kmpl,1582 CC,5.0
BMW 5 Series 2013-2017 530d M Sport,68308.7,2016,20967,Diesel,Automatic,First,14.69 kmpl,2993 CC,5.0
Mahindra Scorpio S4 Plus,13030.16,2015,35000,Diesel,Manual,Second,15.4 kmpl,2179 CC,7.0
Hyundai Verna 1.6 CRDi SX,16402.67,2017,38056,Diesel,Manual,First,23.9 kmpl,1582 CC,5.0
Audi Q7 3.0 TDI Quattro Premium Plus,18395.52,2009,94000,Diesel,Automatic,Second,12.07 kmpl,2967 CC,7.0
Chevrolet Aveo U-VA 1.2 LT,3740.42,2010,64236,Petrol,Manual,First,14.7 kmpl,1150 CC,5.0
Mahindra Bolero ZLX BSIII,2989.27,2000,124000,Diesel,Manual,First,13.6 kmpl,2523 CC,7.0
Hyundai Xcent 1.2 Kappa S,6668.38,2014,7400,Petrol,Manual,First,19.1 kmpl,1197 CC,5.0
Toyota Innova Crysta 2.4 GX MT 8S,26826.8,2017,52000,Diesel,Manual,First,13.68 kmpl,2393 CC,8.0
Hyundai EON Era Plus,4445.58,2015,68764,Petrol,Manual,First,21.1 kmpl,814 CC,5.0
Volkswagen Polo Diesel Comfortline 1.2L,4445.58,2013,64000,Diesel,Manual,First,22.07 kmpl,1199 CC,5.0
Maruti Vitara Brezza ZDi,13643.34,2016,21558,Diesel,Manual,First,24.3 kmpl,1248 CC,5.0
BMW 3 Series 320d Prestige,25677.08,2013,37500,Diesel,Automatic,First,18.88 kmpl,1995 CC,5.0
Hyundai EON Sportz,6055.19,2016,14077,Petrol,Manual,First,21.1 kmpl,814 CC,5.0
Honda City 1.5 S MT,3219.22,2009,70000,Petrol,Manual,First,17.0 kmpl,1497 CC,5.0
Honda Accord 2.4 MT,6576.4,2011,54316,Petrol,Manual,Second,12.8 kmpl,2354 CC,5.0
Mahindra Xylo E8,5901.9,2009,90764,Diesel,Manual,First,14.0 kmpl,2498 CC,8.0
BMW 3 Series 320d,13796.64,2009,137000,Diesel,Automatic,Second,13.2 kmpl,1995 CC,5.0
Honda City V MT,6898.32,2013,127000,Petrol,Manual,Second,16.8 kmpl,1497 CC,5.0
Mahindra XUV500 W10 2WD,19100.68,2016,51884,Diesel,Manual,First,16.0 kmpl,2179 CC,7.0
Hyundai i20 Asta 1.4 CRDi,7128.26,2014,67407,Diesel,Manual,First,21.27 kmpl,1396 CC,5.0
Toyota Fortuner 4x2 Manual,31425.68,2014,107825,Diesel,Manual,First,13.0 kmpl,2982 CC,7.0
Mahindra Bolero DI BSII,4445.58,2006,82453,Diesel,Manual,First,13.6 kmpl,2523 CC,8.0
Maruti Esteem Vxi - BSIII,2222.79,2007,30441,Petrol,Manual,First,15.9 kmpl,1298 CC,5.0
Hyundai Santro LS zipPlus,996.42,2002,70000,Petrol,Manual,Third,14.25kmpl,1086 CC,5.0
Mini Cooper 5 DOOR D,45222.32,2016,11000,Diesel,Automatic,First,20.7 kmpl,1496 CC,5.0
Audi Q3 35 TDI Quattro Premium,38324.0,2015,61000,Diesel,Automatic,First,15.73 kmpl,1968 CC,5.0
Hyundai i20 Sportz Option,5365.36,2013,48454,Petrol,Manual,Second,17.0 kmpl,1197 CC,5.0
Tata Safari Storme VX Varicor 400,17245.8,2017,37000,Diesel,Manual,First,14.1 kmpl,2179 CC,7.0
Honda BR-V i-DTEC VX MT,16540.64,2017,32249,Diesel,Manual,First,21.9 kmpl,1498 CC,7.0
Volkswagen Jetta 2013-2015 2.0L TDI Highline,9044.46,2013,58000,Diesel,Manual,First,19.33 kmpl,1968 CC,5.0
Hyundai Xcent 1.2 Kappa S Option,7848.76,2017,28360,Petrol,Manual,First,19.1 kmpl,1197 CC,5.0
Maruti Ignis 1.2 Alpha,8737.87,2017,7000,Petrol,Manual,First,20.89 kmpl,1197 CC,5.0
BMW 5 Series 2013-2017 520d Luxury Line,54941.29,2016,19658,Diesel,Automatic,First,18.12 kmpl,1995 CC,5.0
Ford Ikon 1.3 CLXi,1916.2,2007,92000,Petrol,Manual,First,13.8 kmpl,1299 CC,5.0
Hyundai i10 Sportz,4062.34,2013,25000,Petrol,Manual,First,20.36 kmpl,1197 CC,5.0
Hyundai Verna 1.6 CRDI,14087.9,2016,37882,Diesel,Manual,First,22.32 kmpl,1582 CC,5.0
BMW 3 Series 320d Highline,36024.56,2014,69330,Diesel,Automatic,First,16.07 kmpl,1995 CC,5.0
Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency,19162.0,2011,61000,Petrol,Automatic,First,12.3 kmpl,1796 CC,5.0
Chevrolet Beat Option Pack,2299.44,2010,35000,Petrol,Manual,Second,18.6 kmpl,1199 CC,5.0
Hyundai Santro Xing XP,1226.37,2004,200000,Petrol,Manual,First,17.92kmpl,1086 CC,5.0
Tata Indica DLS,1149.72,2009,82000,Diesel,Manual,Second,13.5 kmpl,1405 CC,5.0
Mahindra XUV500 W8 2WD,12416.98,2012,72450,Diesel,Manual,First,15.1 kmpl,2179 CC,7.0
Maruti Ciaz ZDi Plus SHVS,14946.36,2017,36381,Diesel,Manual,First,28.09 kmpl,1248 CC,5.0
Mercedes-Benz New C-Class C 250 CDI Avantgarde,58145.17,2017,25559,Diesel,Automatic,First,19.71 kmpl,2143 CC,5.0
Honda City ZX CVT,3004.6,2005,100000,Petrol,Automatic,Third,16.4 kmpl,1497 CC,5.0
Toyota Fortuner 4x2 4 Speed AT,31425.68,2015,94000,Diesel,Automatic,First,11.5 kmpl,2982 CC,7.0
Maruti Alto K10 VXI,4215.64,2011,64357,Petrol,Manual,First,24.07 kmpl,998 CC,5.0
Jaguar XJ 2.0L Portfolio,114972.0,2017,10501,Petrol,Automatic,First,9.43 kmpl,1999 CC,5.0
Hyundai i20 1.4 Magna ABS,4292.29,2009,47000,Diesel,Manual,First,21.9 kmpl,1396 CC,5.0
Honda BRV i-VTEC V CVT,14179.88,2017,18000,Petrol,Automatic,First,16.0 kmpl,1497 CC,7.0
Toyota Corolla Executive (HE),4598.88,2007,89000,Petrol,Manual,First,13.4 kmpl,1794 CC,5.0
Audi A6 2011-2015 2.0 TDI Premium Plus,36622.41,2014,49964,Diesel,Automatic,First,17.68 kmpl,1968 CC,5.0
Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,19545.24,2014,35000,Diesel,Manual,First,12.99 kmpl,2494 CC,7.0
Hyundai Grand i10 CRDi Sportz,6361.78,2014,64000,Diesel,Manual,First,24.0 kmpl,1120 CC,5.0
Volkswagen Vento IPL II Petrol Highline AT,7128.26,2013,36000,Petrol,Automatic,First,14.8 kmpl,1598 CC,5.0
Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,13643.34,2012,78600,Diesel,Manual,First,12.8 kmpl,2494 CC,7.0
Hyundai Verna CRDi SX,2299.44,2008,170000,Diesel,Manual,Second,16.8 kmpl,1493 CC,5.0
Maruti Ritz VDi,5012.78,2015,65000,Diesel,Manual,Second,23.2 kmpl,1248 CC,5.0
Audi Q7 3.0 TDI Quattro Technology,27593.28,2008,120300,Diesel,Automatic,Second,12.07 kmpl,2967 CC,7.0
Hyundai i20 Asta Option 1.2,9657.65,2016,21000,Petrol,Manual,First,18.6 kmpl,1197 CC,5.0
Maruti Vitara Brezza ZDi Plus Dual Tone,17337.78,2017,18108,Diesel,Manual,First,24.3 kmpl,1248 CC,5.0
Honda City i VTEC S,9443.03,2014,58407,Petrol,Manual,First,17.4 kmpl,1497 CC,5.0
Maruti Ciaz ZXi,9197.76,2014,49500,Petrol,Manual,First,20.73 kmpl,1373 CC,5.0
Nissan Sunny XV CVT,8323.97,2013,37199,Petrol,Automatic,First,17.5 kmpl,1498 CC,5.0
Volkswagen Polo Diesel Highline 1.2L,7128.26,2012,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,5.0
Maruti Ertiga ZDI,11497.2,2015,59000,Diesel,Manual,First,20.77 kmpl,1248 CC,7.0
Maruti Swift Dzire VDI,9581.0,2015,60000,Diesel,Manual,First,26.59 kmpl,1248 CC,5.0
Mercedes-Benz New C-Class C 220 CDI Elegance AT,14179.88,2007,39037,Diesel,Automatic,First,14.84 kmpl,2143 CC,5.0
Honda Brio S MT,4828.82,2013,17003,Petrol,Manual,First,19.4 kmpl,1198 CC,5.0
Hyundai i10 Magna Optional 1.1L,3525.81,2008,80400,Petrol,Manual,First,16.0 kmpl,1086 CC,5.0
Hyundai Verna 1.6 SX CRDi (O),8048.04,2012,75200,Diesel,Manual,First,22.32 kmpl,1582 CC,5.0
Maruti Ciaz VDI SHVS,11343.9,2017,41217,Diesel,Manual,First,28.09 kmpl,1248 CC,5.0
Ford Ikon 1.3 Flair,2376.09,2006,98293,Petrol,Manual,Second,13.8 kmpl,1299 CC,5.0
Volkswagen Polo 1.2 MPI Highline,9197.76,2017,54000,Petrol,Manual,Second,16.2 kmpl,1199 CC,5.0
Honda Jazz 1.2 V i VTEC,9044.46,2016,17377,Petrol,Manual,First,18.7 kmpl,1199 CC,5.0
Honda Amaze EX i-Dtech,7204.91,2013,33800,Diesel,Manual,Second,25.8 kmpl,1498 CC,5.0
Hyundai i20 Asta 1.4 CRDi,9964.24,2015,86157,Diesel,Manual,First,22.54 kmpl,1396 CC,5.0
Maruti Ritz VDi,5442.01,2012,146824,Diesel,Manual,First,21.1 kmpl,1248 CC,5.0
Honda City V MT,10884.02,2014,55000,Petrol,Manual,First,16.8 kmpl,1497 CC,5.0
Skoda Superb 1.8 TSI MT,9197.76,2010,53293,Petrol,Manual,First,13.14 kmpl,1798 CC,5.0
Maruti Vitara Brezza LDi Option,12248.35,2017,38000,Diesel,Manual,First,24.3 kmpl,1248 CC,5.0
Hyundai i20 Asta,6285.14,2009,64000,Petrol,Manual,Second,17.0 kmpl,1197 CC,5.0
Maruti Alto K10 VXI AGS,6055.19,2017,25058,Petrol,Automatic,First,24.07 kmpl,998 CC,5.0
Hyundai EON Era Plus,6714.36,2016,36700,Petrol,Manual,First,21.1 kmpl,814 CC,5.0
Hyundai i10 Sportz,4215.64,2011,35000,Petrol,Manual,First,20.36 kmpl,1197 CC,5.0
Mercedes-Benz SLK-Class SLK 350,85140.6,2016,22732,Petrol,Automatic,First,18.1 kmpl,3498 CC,2.0
Audi A6 2.0 TDI Design Edition,44455.84,2014,48000,Diesel,Automatic,First,18.53 kmpl,1968 CC,5.0
Ford EcoSport 1.5 TDCi Titanium,10117.54,2013,62084,Diesel,Manual,First,22.77 kmpl,1498 CC,5.0
Volkswagen Passat Highline DSG,10715.39,2012,39273,Diesel,Automatic,First,14.3 kmpl,1968 CC,5.0
Toyota Innova Crysta 2.4 ZX MT,28743.0,2017,64798,Diesel,Manual,First,13.68 kmpl,2393 CC,7.0
Ford Figo Diesel ZXI,1962.19,2010,100002,Diesel,Manual,Third,20.0 kmpl,1399 CC,5.0
Chevrolet Aveo 1.4,1839.55,2006,78000,Petrol,Manual,Third,14.49 kmpl,1399 CC,5.0
Maruti Ritz LXi,6607.06,2013,57717,Petrol,Manual,First,18.5 kmpl,1197 CC,5.0
Land Rover Freelander 2 SE,25293.84,2011,109000,Diesel,Automatic,First,12.39 kmpl,2179 CC,5.0
Hyundai Grand i10 Asta,8645.89,2017,74515,Petrol,Manual,First,18.9 kmpl,1197 CC,5.0
Ford Endeavour 3.2 Trend AT 4X4,47705.72,2017,50484,Diesel,Automatic,First,10.91 kmpl,3198 CC,7.0
Audi Q5 2008-2012 2.0 TDI,39029.16,2013,13452,Diesel,Automatic,First,12.8 kmpl,1968 CC,5.0
Hyundai Verna 1.6 VTVT,12079.72,2017,37688,Petrol,Manual,First,17.01 kmpl,1591 CC,5.0
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,55186.56,2017,34000,Diesel,Automatic,First,13.0 kmpl,2143 CC,5.0
Mercedes-Benz M-Class ML 350 4Matic,45988.8,2014,120000,Diesel,Automatic,First,14.2 kmpl,2987 CC,5.0
Maruti Swift Dzire ZXi,4368.94,2008,64000,Petrol,Manual,Second,17.5 kmpl,1298 CC,5.0
Honda City 1.3 EXI S,5365.36,2011,100000,Petrol,Manual,First,13.0 kmpl,1343 CC,5.0
Renault Duster 85PS Diesel RxL Optional,11497.2,2014,75000,Diesel,Manual,First,20.46 kmpl,1461 CC,5.0
Mercedes-Benz New C-Class 220 CDI AT,29126.24,2012,86000,Diesel,Automatic,First,14.84 kmpl,2143 CC,5.0
BMW X5 xDrive 30d Design Pure Experience 5 Seater,82779.84,2015,69000,Diesel,Automatic,First,15.97 kmpl,2993 CC,5.0
Hyundai Xcent 1.2 Kappa SX Option,7204.91,2015,41721,Petrol,Manual,First,19.1 kmpl,1197 CC,5.0
Maruti Dzire AMT ZXI Plus,13030.16,2017,13000,Petrol,Automatic,First,22.0 kmpl,1197 CC,5.0
BMW 3 Series 320d Corporate Edition,26060.32,2013,38998,Diesel,Automatic,First,16.07 kmpl,1995 CC,4.0
Maruti Alto 800 LXI,5380.69,2017,54250,Petrol,Manual,First,22.74 kmpl,796 CC,5.0
Audi A4 2.0 TDI 177 Bhp Premium Plus,29892.72,2013,45979,Diesel,Automatic,Second,17.11 kmpl,1968 CC,5.0
Mini Cooper S,26060.32,2012,37000,Petrol,Automatic,Second,13.6 kmpl,1598 CC,4.0
Audi Q7 3.0 TDI Quattro Premium Plus,66453.82,2015,46983,Diesel,Automatic,Second,12.07 kmpl,2967 CC,7.0
Chevrolet Beat Diesel LT,4062.34,2012,40700,Diesel,Manual,First,25.44 kmpl,936 CC,5.0
Maruti Wagon R LXI BS IV,5396.02,2015,43828,Petrol,Manual,First,20.51 kmpl,998 CC,5.0
Nissan Terrano XV Premium 110 PS,9581.0,2016,53000,Diesel,Manual,First,19.01 kmpl,1461 CC,5.0
BMW 3 Series 320d Luxury Plus,37940.76,2015,100000,Diesel,Automatic,First,18.88 kmpl,1995 CC,5.0
Maruti Swift Dzire VXI,8048.04,2015,19000,Petrol,Manual,First,20.85 kmpl,1197 CC,5.0
Skoda Yeti Elegance 4X2,16862.56,2016,84000,Diesel,Manual,First,17.72 kmpl,1968 CC,5.0
Ford EcoSport 1.5 Ti VCT AT Titanium,13949.94,2018,37630,Petrol,Automatic,First,15.63 kmpl,1499 CC,5.0
Hyundai i20 1.2 Magna,4982.12,2010,67714,Petrol,Manual,First,18.5 kmpl,1197 CC,5.0
Maruti S Cross DDiS 200 Sigma Option,13030.16,2017,32000,Diesel,Manual,First,15.0 kmpl,1248 CC,5.0
Hyundai Verna Transform VTVT,4752.18,2010,51000,Petrol,Manual,First,16.2 kmpl,1599 CC,5.0
BMW 3 Series 320d Luxury Line,30444.59,2015,58390,Diesel,Automatic,First,18.88 kmpl,1995 CC,5.0
Hyundai Grand i10 1.2 CRDi Magna,7511.5,2017,14000,Diesel,Manual,First,24.0 kmpl,1186 CC,5.0
Honda City i-VTEC V,8737.87,2014,55818,Petrol,Manual,Second,17.4 kmpl,1497 CC,5.0
Maruti Swift 1.3 VXi,2682.68,2006,97800,Petrol,Manual,Third,16.1 kmpl,1248 CC,5.0
Maruti Swift VDI BSIV,4445.58,2012,52241,Diesel,Manual,First,25.2 kmpl,1248 CC,5.0
Maruti Baleno Zeta 1.3,12003.08,2018,25433,Diesel,Manual,First,27.39 kmpl,1248 CC,5.0
Tata Safari Storme 2012-2015 LX,12493.62,2015,40611,Diesel,Manual,First,14.0 kmpl,2179 CC,7.0
Hyundai Accent GLS,3065.92,2008,72000,Petrol,Manual,Second,13.2 kmpl,1495 CC,5.0
Maruti Swift LDI SP Limited Edition,9581.0,2016,54631,Diesel,Manual,First,25.2 kmpl,1248 CC,5.0
Maruti Swift VDI BSIV,5212.06,2007,60000,Diesel,Manual,Second,17.8 kmpl,1248 CC,5.0
Tata Nano XTA,4890.14,2016,24941,Petrol,Automatic,First,21.9 kmpl,624 CC,4.0
Maruti Ertiga VDI,11880.44,2017,63939,Diesel,Manual,First,25.47 kmpl,1248 CC,7.0
Maruti Celerio VXI AMT,4905.47,2014,35214,Petrol,Automatic,Second,23.1 kmpl,998 CC,5.0
Maruti Swift VDI BSIV,7511.5,2015,63000,Diesel,Manual,First,25.2 kmpl,1248 CC,5.0
Volkswagen Vento Petrol Highline,5825.25,2012,121377,Petrol,Manual,First,15.04 kmpl,1598 CC,5.0
Volkswagen Jetta 2007-2011 1.9 Highline TDI,6131.84,2009,100970,Diesel,Automatic,First,15.5 kmpl,1896 CC,5.0
Mini Cooper 5 DOOR D,36024.56,2014,60000,Diesel,Automatic,Second,20.7 kmpl,1496 CC,5.0
Tata Indica V2 DLS,1762.9,2008,77650,Diesel,Manual,First,17.2 kmpl,1396 CC,5.0
Hyundai Santro Xing XO,3372.51,2007,71297,Petrol,Manual,First,17.0 kmpl,1086 CC,5.0
Land Rover Range Rover 3.0 D,40623.44,2008,55001,Diesel,Automatic,Second,13.16kmpl,2997 CC,5.0
Honda City i-VTEC CVT VX,16326.02,2015,18955,Petrol,Automatic,First,18.0 kmpl,1497 CC,5.0
Jaguar XF 2.2 Litre Luxury,54696.01,2016,47877,Diesel,Automatic,First,16.36 kmpl,2179 CC,5.0
Mercedes-Benz E-Class 2015-2017 E250 Edition E,48962.74,2017,43368,Diesel,Automatic,First,15.0 kmpl,2143 CC,5.0
Chevrolet Cruze LTZ,6438.43,2011,73000,Diesel,Manual,Third,18.3 kmpl,1991 CC,5.0
Mahindra XUV500 W8 2WD,15176.3,2015,72007,Diesel,Manual,First,15.1 kmpl,2179 CC,7.0
Mercedes-Benz New C-Class C 200 CGI Avantgarde,23699.56,2014,56778,Petrol,Automatic,First,11.74 kmpl,1796 CC,5.0
Honda Jazz VX,12968.84,2018,20024,Petrol,Manual,First,18.2 kmpl,1199 CC,5.0
Toyota Etios G,4982.12,2013,42103,Petrol,Manual,First,16.78 kmpl,1496 CC,5.0
Maruti Alto LXi BSIII,3985.7,2012,67147,Petrol,Manual,First,19.7 kmpl,796 CC,5.0
Maruti Swift VXI BSIV,7971.39,2016,37806,Petrol,Manual,First,20.4 kmpl,1197 CC,5.0
Maruti A-Star Vxi,2759.33,2009,85000,Petrol,Manual,Third,19.0 kmpl,998 CC,5.0
Tata Nano Lx BSIV,2452.74,2011,35000,Petrol,Manual,First,25.4 kmpl,624 CC,4.0
Ford Figo Titanium Diesel,3832.4,2015,72035,Diesel,Manual,First,25.5 kmpl,1498 CC,5.0
Fiat Linea Emotion,3832.4,2011,48500,Petrol,Manual,First,16.0 kmpl,1368 CC,5.0
Ford Figo Aspire 1.2 Ti-VCT Trend,10270.83,2017,28854,Petrol,Manual,First,18.16 kmpl,1196 CC,5.0
Maruti Baleno LXI,1839.55,2005,92450,Petrol,Manual,First,15.4 kmpl,1590 CC,5.0
BMW 3 Series 320d Luxury Line,54496.73,2016,14351,Diesel,Automatic,First,18.88 kmpl,1995 CC,5.0
Chevrolet Cruze LTZ,11880.44,2017,51087,Diesel,Manual,First,17.9 kmpl,1998 CC,5.0
Mahindra Scorpio 2.6 DX,2973.94,2005,50000,Diesel,Manual,First,12.7 kmpl,2609 CC,8.0
Tata Indica V2 eLS,3372.51,2016,73000,Diesel,Manual,First,25.0 kmpl,1396 CC,5.0
Chevrolet Cruze LTZ AT,5825.25,2011,60000,Diesel,Automatic,First,18.1 kmpl,1991 CC,4.0
Toyota Innova 2.5 V Diesel 8-seater,23990.82,2016,50000,Diesel,Manual,First,12.8 kmpl,2494 CC,8.0
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,60505.93,2018,36797,Diesel,Automatic,First,19.27 kmpl,2143 CC,5.0
Maruti Ritz VXi,2299.44,2011,50000,Petrol,Manual,Second,18.5 kmpl,1197 CC,5.0
Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,13566.7,2013,94000,Diesel,Manual,First,12.8 kmpl,2494 CC,8.0
Toyota Fortuner 4x4 MT,27439.98,2013,74000,Diesel,Manual,Second,12.55 kmpl,2982 CC,7.0
Hyundai i10 Sportz AT,7787.44,2014,41016,Petrol,Automatic,Second,16.95 kmpl,1197 CC,5.0
Hyundai Verna 1.6 SX,9581.0,2012,67000,Diesel,Manual,First,22.32 kmpl,1582 CC,5.0
